Marca,SKU,Descripcion, P. Lista USD
EATON,051787,"DILEM-10(380V50HZ,440V60HZ)", $ 62.39 
EATON,051788,"DILEM-10(400V50HZ,440V60HZ)", $ 65.51 
EATON,051792,"DILEM-01(110V50HZ,120V60HZ),", $ 65.51 
EATON,051794,"DILEM-01(220V50HZ,240V60HZ)", $ 65.51 
EATON,051795,"DILEM-01(230V50HZ,240V60HZ)", $ 62.39 
EATON,051796,"DILEM-01(380V50HZ,440V60HZ)", $ 62.39 
EATON,051797,"DILEM-01(400V50HZ,440V60HZ)", $ 62.39 
EATON,051801,"DILEM4(110V50HZ,120V60HZ)", $ 62.39 
EATON,052448,ZW7-290," $ 1,133.68 "
EATON,052785,BT480, $ 0.47 
EATON,052999,SVB-P3, $ 28.35 
EATON,053079,T0-2-8400/E, $ 51.80 
EATON,053092,T0-1-15402/E, $ 39.98 
EATON,053099,T0-2-15922/E, $ 54.82 
EATON,053110,T0-1-8200/EA/SVB, $ 65.62 
EATON,053111,P1-32/EA/SVB-SW, $ 94.93 
EATON,053496,GA-O/I43, $ 47.40 
EATON,053521,TM-3-8233/E, $ 166.18 
EATON,054038,Q25D-20, $ 19.60 
EATON,054039,Q25D-19, $ 19.60 
EATON,054041,"Q18D-20, # RMQ18", $ 18.66 
EATON,054716,T3-4-15682/EA/SVB, $ 185.38 
EATON,054718,T3-1-8210/E, $ 69.87 
EATON,054744,T3-6-15866/E, $ 211.54 
EATON,055226,I-AT4, $ 21.78 
EATON,055335,P1-25/V/SVB, $ 80.29 
EATON,055460,T0-6-15866/E, $ 118.67 
EATON,055464,T0-4-8234/E, $ 73.27 
EATON,055465,T0-1-15402/EZ, $ 42.95 
EATON,055483,T0-1-8200/EA/SVB-SW, $ 68.90 
EATON,055484,P1-32/V/SVB-SW, $ 98.01 
EATON,055715,"WBLED-GN12,", $ 28.58 
EATON,055716,"WBLED-RT12,", $ 28.58 
EATON,055869,GA-O/I44, $ 49.37 
EATON,055875,GA-MS-I44, $ 135.22 
EATON,057089,T3-4-15682/EA/SVB-SW, $ 185.38 
EATON,057679,MCSN4, $ 154.26 
EATON,057708,"P1-25/Z, # Seccionador", $ 46.06 
EATON,057856,T0-1-8200/V/SVB, $ 73.28 
EATON,057857,"P3-63/EA/SVB-SW,", $ 162.57 
EATON,057859,P1-32/EA/SVB/N/HI11, $ 141.33 
EATON,057892,SVB-T0, $ 20.96 
EATON,058771,DILEEM-01(230V50/60HZ), $ 61.88 
EATON,059465,"T3-4-8223/E, # Cam Switch", $ 155.89 
EATON,060230,P3-63/V/SVB-SW, $ 198.95 
EATON,060265,SVB-SW-T0, $ 17.12 
EATON,060612,K3X240/1, $ 598.99 
EATON,060615,"N434AE, # CI acc", $ 81.77 
EATON,060620,SHO635/4, $ 55.92 
EATON,061813,HI11-P1/P3E, $ 32.15 
EATON,061837,T3-2-8211/E, $ 98.51 
EATON,062031,HI11-P1/P3Z, $ 32.15 
EATON,062152,Q18S3R-GN, $ 62.08 
EATON,062367,KS4-CI, $ 312.62 
EATON,062432,N-P3E, $ 34.75 
EATON,062491,SVB-SW-P3, $ 27.00 
EATON,062575,T0-4-8213/EZ, $ 86.68 
EATON,062577,T0-6-8370/E, $ 113.02 
EATON,062582,T0-6-8282/E, $ 113.02 
EATON,062586,"T0-1-15434/E, Cam Switch", $ 35.31 
EATON,062603,P3-100/EA/SVB-SW, $ 235.15 
EATON,063076,CU40X10, $ 720.98 
EATON,063257,Q25TGR-X, $ 1.26 
EATON,063268,HH-A, $ 47.65 
EATON,063959,B3.2/4-PKZ0, $ 31.62 
EATON,063960,B3.0/4-PKZ0, $ 30.51 
EATON,063961,B3.0/2-PKZ0, $ 22.77 
EATON,063963,B3.2/2-PKZ0, $ 23.03 
EATON,064805,N-P3Z, $ 34.75 
EATON,064896,U-CI43E, $ 303.43 
EATON,064950,T0-8-8372/E, $ 142.19 
EATON,065028,U-CI43, $ 107.58 
EATON,065190,ES16, $ 13.10 
EATON,065362,"N43RS27, # CI acc", $ 112.46 
EATON,065386,TM-2-8241/E, $ 112.53 
EATON,065496,AE-P3, $ 5.00 
EATON,065739,ZFS61/62-P3, $ 4.16 
EATON,066166,EMT6, $ 208.70 
EATON,066167,EMT6-DB, $ 367.82 
EATON,066168,"EMT6-DBK,", $ 474.37 
EATON,066401,EMT6-DB(230V), $ 314.87 
EATON,066576,"T3-1-8200/EA/SVB - Main switch, T3, 32 A, flush mounting, 1 contact unit(s)", $ 92.05 
EATON,066931,T0-2-15907/E, $ 57.56 
EATON,067201,P3-100/E, $ 175.50 
EATON,067269,U-CI44, $ 160.74 
EATON,067327,T0-2-8242/E, $ 57.56 
EATON,067330,T0-2-15403/E, $ 51.80 
EATON,067337,T0-2-15921/E, $ 57.62 
EATON,067351,P3-63/EA/SVB/N/HI11, $ 231.74 
EATON,067352,T0-1-8200/E, $ 36.76 
EATON,067759,TM-3-8261/E, $ 166.18 
EATON,068956,T3-3-8212/E, $ 133.83 
EATON,069150,TM-5-8237/E, $ 242.20 
EATON,069304,T0-2-15907/EZ, $ 60.47 
EATON,069608,"STO-SW, Kit de operación de varilla", $ 110.75 
EATON,069642,U-CI44E, $ 397.90 
EATON,069700,T0-2-8242/EZ, $ 60.47 
EATON,070119,KSV6-ID, $ 70.03 
EATON,070131,TM-1-8290/E, $ 73.92 
EATON,070194,P1-25/EA/SVB-SW/HI11, $ 99.70 
EATON,071326,T3-3-8342/EA/SVB, $ 156.80 
EATON,071810,FAK-R, $ 74.63 
EATON,072079,"T0-3-15394/E, # Cam Switch", $ 65.10 
EATON,072308,Q18WK3, $ 30.20 
EATON,072309,Q18WK3R, $ 31.71 
EATON,072312,Q18S1R-A1, $ 47.29 
EATON,072313,Q18S3, $ 53.02 
EATON,072314         ,Q18S3R, $ 55.67 
EATON,072315,Q18S3R-A1, $ 60.04 
EATON,072324,Q18LWK3-GN, $ 34.88 
EATON,072336,Q18LWK3-GN/WB, $ 36.97 
EATON,072348 ,Q25LWK3-GN/WB, $ 37.01 
EATON,072370,Q25PV, $ 42.06 
EATON,072371,Q25LPV, $ 66.11 
EATON,072373,Q25WK3R, $ 30.20 
EATON,072374,Q25WK3R1, $ 31.87 
EATON,072375,Q25WK3R2, $ 31.87 
EATON,072377,Q25S3, $ 53.02 
EATON,072378,Q25S3R, $ 53.02 
EATON,072379,Q25S3R-A1, $ 57.18 
EATON,072384,Q25S3R-A6, $ 57.18 
